Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          109,118ms 
L.Condensation.UnFormAgree._.go                     21ms 
L.Condensation.Δ₀-atomBodyB                         21ms 
L.Condensation.BndLeaf.eK                           21ms 
L.Condensation.ExistAgree.Leaf.lift-x               21ms 
L.Condensation.TmBranch._._.hTagB                   20ms 
L.Condensation.BotRow.σL-in                         20ms 
L.Condensation.SuccSndRel.out                       20ms 
L.Condensation.ExistAgree.Leaf.bodyC                20ms 
L.Condensation.AtomLeaf.wK                          20ms 
L.Condensation.BothSameRel.back                     20ms 
L.Condensation.Δ₀-sucAtL                            20ms 
L.Condensation.OneSuccRel.out                       20ms 
L.Condensation.BndLeaf.ex-drop-e                    20ms 
L.Condensation.UnaryShape.out                       20ms 
L.Condensation.BndLeaf.xB                           20ms 
L.Condensation.BothSameRel.out                      19ms 
L.Condensation.ShapesAgree.back                     19ms 
L.Condensation.ImpLeaf.opOut                        19ms 
L.Condensation.Δ₀-shapesBS                          18ms 
L.Condensation.BndLeaf.wK'                          18ms 
L.Condensation.DefBodyB                             18ms 
L.Condensation.AllInAgree.φB                        18ms 
L.Condensation.keyU                                 18ms 
L.Condensation.BndLeaf.ex-lift-e                    18ms 
L.Condensation.TagAgree.out                         18ms 
L.Condensation.AtomLeaf.vK                          17ms 
L.Condensation.ExInAgree.φB                         17ms 
L.Condensation.Clause.envBnd                        17ms 
L.Condensation.AtomLeaf.tVM                         17ms 
L.Condensation.EnvSet.app3                          17ms 
L.Condensation.EnvSet.app3'                         17ms 
L.Condensation.AtomLeaf.tWM                         16ms 
L.Condensation.UnBareDecode.unBare-in               16ms 
L.Condensation.ExistAgree.Leaf.exist-drop-step      16ms 
L.Condensation.BndLeaf.cSat                         16ms 
L.Condensation.EnvSet.entryK                        15ms 
L.Condensation.BndLeaf.tVM                          15ms 
L.Condensation.SatGraphAgree.sh3                    15ms 
L.Condensation.Δ₀-envBndGen                         15ms 
L.Condensation.EnvSet.app2                          15ms 
L.Condensation.extAtB→extAt                         14ms 
L.Condensation.ExistAgree.Leaf.exist-drop           14ms 
L.Condensation.ChainZ.xsingl∈prxy                   14ms 
L.Condensation.ExistAgree.Leaf.exist-lift-step      14ms 
L.Condensation.Δ₀-arTagPairBS                       14ms 
L.Condensation.ExistAgree.Leaf.exist-lift           14ms 
L.Condensation.BinFormAgree.back                    14ms 
L.Condensation.AllIn.Δ₀-allInBndAt                  14ms 
L.Condensation.Or.Δ₀-orBndAt                        14ms 
L.Condensation.DefinesAgree.out                     13ms 
L.Condensation.KeyAgree._._.te'                     13ms 
L.Condensation.Δ₀-arTagPairB                        13ms 
L.Condensation.DefinesAgree.back                    13ms 
L.Condensation.succU                                13ms 
L.Condensation.TmBranch._.go                        13ms 
L.Condensation.KeyAgree.back                        13ms 
L.Condensation.AtomLeaf.cSat                        12ms 
L.Condensation.OneSameRel.back                      12ms 
L.Condensation.OneSameRel.out                       12ms 
L.Condensation.atomBodyB                            12ms 
L.Condensation.Forall.Δ₀-forallBndAt                12ms 
L.Condensation.Neg.Δ₀-negBndAt                      12ms 
L.Condensation.Imp.Δ₀-impBndAt                      12ms 
L.Condensation.KeyAgree.out                         12ms 
L.Condensation.Δ₀-hasWitnessBS                      12ms 
L.Condensation.EqAgree.φB                           11ms 
L.Condensation.Δ₀-propBodyB                         11ms 
L.Condensation.Δ₀-binFullAt                         11ms 
L.Condensation.bndBodyAll                           11ms 
L.Condensation.TopBinRel.back                       11ms 
L.Condensation.MemAgree.φB                          11ms 
L.Condensation.ImpLeaf.yaCore                       11ms 
L.Condensation._.d1                                 11ms 
L.Condensation.DefinesAgree.bodyM                   11ms 
L.Condensation.EqAgree.cmp                          11ms 
L.Condensation.And.Δ₀-andBndAt                      11ms 
L.Condensation.UnFormAgree.back                     11ms 
L.Condensation.UnFrameAgree.back                    11ms 
L.Condensation.EnvSet.memE-at                       11ms 
L.Condensation.BinFrameAgree.back                   11ms 
L.Condensation.EnvSet.out                           11ms 
L.Condensation.ChainZ.ysingl∈prxy                   10ms 
L.Condensation.MemAgree.cmp                         10ms 
L.Condensation.ExIn.Δ₀-exInBndAt                    10ms 
L.Condensation.BndLeaf.xW                           10ms 
L.Condensation.bndBodyEx                            10ms 
L.Condensation.ChainZ.prʟxy∈z                       10ms 
L.Condensation.SubValB2T.back                       10ms 
