Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          137,453ms 
L.Condensation.Δ₀-envHypB2                          30ms 
L.Condensation.BinFormAgree._._.go₂                 29ms 
L.Condensation.Δ₀-envHypB2T                         29ms 
L.Condensation.EnvOneAgree.fwd                      29ms 
L.Condensation.BndLeaf.tVS                          29ms 
L.Condensation.EnvOneAgree.bwd                      29ms 
L.Condensation.Δ₀-envHypT                           29ms 
L.Condensation.WitnessAgree.back                    28ms 
L.Condensation.OneSuccRel._._.zK                    28ms 
L.Condensation.BinEnvDecode.binEnv-in               28ms 
L.Condensation.UnBareDecode.unBare-out              27ms 
L.Condensation.SubValB2T.out                        27ms 
L.Condensation.AtomLeaf.drop-v                      27ms 
L.Condensation.TmBranch._.go                        27ms 
L.Condensation.DomainAgree._.go                     26ms 
L.Condensation.KeyAgree._.go                        26ms 
L.Condensation.BinFormAgree._.go                    26ms 
L.Condensation.OneSuccRel.back                      26ms 
L.Condensation.DefinesAgree.fwd                     25ms 
L.Condensation.TagAgree._.hp                        25ms 
L.Condensation.AtomLeaf.lift-w                      25ms 
L.Condensation.AtomLeaf.drop-w                      25ms 
L.Condensation.Δ₀-sucAtL                            25ms 
L.Condensation.DomainAgree.mem                      24ms 
L.Condensation.ExistAgree.Leaf.bodyK                24ms 
L.Condensation.AtomLeaf.lift-v                      24ms 
L.Condensation.BotRow.σL-out                        24ms 
L.Condensation.DefinesAgree.bwd                     24ms 
L.Condensation.BotRow.σL-in                         24ms 
L.Condensation.ExistAgree.Leaf.lift-x               24ms 
L.Condensation.WitnessAgree.out                     24ms 
L.Condensation.TmBranch._._._.tz'                   23ms 
L.Condensation.Clause.envBnd                        23ms 
L.Condensation.ExistAgree.Leaf.bodyC                23ms 
L.Condensation.BothSameRel.out                      23ms 
L.Condensation.ClauseDecode.σL-in                   23ms 
L.Condensation.UnEnvDecode.unEnv-in                 23ms 
L.Condensation.ExistAgree.Leaf.drop-x               22ms 
L.Condensation.ExistAgree.Leaf.xB                   22ms 
L.Condensation.BothSameRel.back                     22ms 
L.Condensation.SuccSndRel.out                       22ms 
L.Condensation.BndLeaf.eK                           21ms 
L.Condensation.UnaryShape.out                       21ms 
L.Condensation.ShapesAgree.back                     21ms 
L.Condensation.Δ₀-shapesBS                          21ms 
L.Condensation.TmBranch._._.hTagB                   21ms 
L.Condensation.keyU                                 21ms 
L.Condensation.BndLeaf.ySat                         21ms 
L.Condensation.BndLeaf.ex-drop-e                    20ms 
L.Condensation.OneSuccRel.out                       20ms 
L.Condensation.BndLeaf.xB                           20ms 
L.Condensation.AtomLeaf.wK                          20ms 
L.Condensation.Δ₀-atomBodyB                         20ms 
L.Condensation.ExInAgree.φB                         20ms 
L.Condensation.UnFormAgree._.go                     20ms 
L.Condensation.KValue.consed                        20ms 
L.Condensation.ImpLeaf.opOut                        19ms 
L.Condensation.BndLeaf.ex-lift-e                    19ms 
L.Condensation.DefBodyB                             19ms 
L.Condensation.SatGraphAgree.sh3                    19ms 
L.Condensation.BndLeaf.wK'                          19ms 
L.Condensation.AtomLeaf.vK                          18ms 
L.Condensation.AllInAgree.φB                        18ms 
L.Condensation.ExistAgree.Leaf.exist-drop-step      18ms 
L.Condensation.UnBareDecode.unBare-in               18ms 
L.Condensation.AtomLeaf.tVM                         17ms 
L.Condensation.EnvSet.app3                          17ms 
L.Condensation.KeyAgree.back                        17ms 
L.Condensation.EnvSet.app3'                         17ms 
L.Condensation.SatGraphAgree._.eK                   16ms 
L.Condensation.BndLeaf.cSat                         16ms 
L.Condensation.BndLeaf.tVM                          16ms 
L.Condensation.TagAgree.out                         16ms 
L.Condensation.AtomLeaf.tWM                         16ms 
L.Condensation.ExistAgree.Leaf.exist-lift-step      16ms 
L.Condensation.Δ₀-envBndGen                         16ms 
L.Condensation.ExistAgree.Leaf.exist-drop           16ms 
L.Condensation.ExistAgree.Leaf.exist-lift           15ms 
L.Condensation.EnvSet.entryK                        15ms 
L.Condensation.GraphEntry.bin                       15ms 
L.Condensation.succU                                15ms 
L.Condensation.OneSameRel.back                      15ms 
L.Condensation.TmBranch._.go                        15ms 
L.Condensation.DefinesAgree.back                    14ms 
L.Condensation.Δ₀-arTagPairBS                       14ms 
L.Condensation.Imp.Δ₀-impBndAt                      14ms 
L.Condensation.ChainZ.xsingl∈prxy                   14ms 
L.Condensation.Δ₀-arTagPairB                        14ms 
L.Condensation.KeyAgree.out                         14ms 
L.Condensation.And.Δ₀-andBndAt                      13ms 
L.Condensation.KValue.Kenv                          13ms 
L.Condensation.GraphEntry.un                        13ms 
L.Condensation.DefinesAgree.out                     13ms 
L.Condensation.extAtB→extAt                         13ms 
L.Condensation.Or.Δ₀-orBndAt                        13ms 
L.Condensation.Neg.Δ₀-negBndAt                      13ms 
L.Condensation.ExIn.Δ₀-exInBndAt                    13ms 
L.Condensation.bndBodyEx                            13ms 
L.Condensation.KeyAgree._._.te'                     13ms 
L.Condensation.AtomLeaf.cSat                        13ms 
L.Condensation.OneSameRel.out                       13ms 
L.Condensation.MemAgree.φB                          12ms 
L.Condensation.EnvSet.memE-bnd                      12ms 
L.Condensation.EqAgree.φB                           12ms 
L.Condensation.ImpLeaf.yaCore                       12ms 
L.Condensation.EnvSet.app2                          12ms 
L.Condensation.Forall.Δ₀-forallBndAt                12ms 
L.Condensation._.d2                                 12ms 
L.Condensation.UnFormAgree.back                     12ms 
L.Condensation.MemAgree.cmp                         12ms 
L.Condensation.EqAgree.cmp                          12ms 
L.Condensation.BinFrameAgree.back                   12ms 
L.Condensation.Δ₀-binFullAt                         12ms 
L.Condensation.BinFrameAgree._._.bK                 12ms 
L.Condensation.BinFormAgree.back                    12ms 
L.Condensation._.d1                                 11ms 
L.Condensation.Δ₀-propBodyB                         11ms 
L.Condensation.DefinesAgree.bodyM                   11ms 
L.Condensation.extAt→extAtB                         11ms 
L.Condensation.Δ₀-closedBS                          11ms 
L.Condensation._.dt                                 11ms 
L.Condensation.bndBodyAll                           11ms 
L.Condensation.ZeroPayRel.back                      10ms 
L.Condensation.StepAtB.Δ₀-stepBndAt                 10ms 
L.Condensation.ChainZ.yK'                           10ms 
L.Condensation.DefinesAgree.bodyB                   10ms 
L.Condensation.BinaryShape.pairK                    10ms 
L.Condensation.ClauseAgree.out                      10ms 
L.Condensation.envBndGen                            10ms 
L.Condensation.ImpLeaf.ybCore                       10ms 
L.Condensation.KValue.i10                           10ms 
L.Condensation.Δ₀-binEnvAt                          10ms 
L.Condensation.UnFrameAgree.back                    10ms 
L.Condensation.ChainZ.prxy∈K                        10ms 
L.Condensation.EnvSet.back                          10ms 
L.Condensation.BndLeaf.xW                           10ms 
L.Condensation.atomBodyB                            10ms 
L.Condensation.ChainZ.xK'                           10ms 
L.Condensation.KValue.i11                           10ms 
