# module src/L/Condensation.lagda.md
# in-fence lines 6676
# GHCRTS -A64m -I0 -M8g
# command agda --profile=definitions src/L/Condensation.lagda.md
# load before 3.04 / 3.60 / 3.65
# load after  3.38 / 3.51 / 3.60
# wall seconds 128.55
# exit 0
Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          125,512ms 
L.Condensation.BinFormAgree._.go                    28ms 
L.Condensation.Δ₀-envHypB2                          28ms 
L.Condensation.OneSuccRel._._.zK                    27ms 
L.Condensation.EnvOneAgree.fwd                      27ms 
L.Condensation.AtomLeaf.drop-w                      27ms 
L.Condensation.Δ₀-envHypT                           27ms 
L.Condensation.EnvOneAgree.bwd                      27ms 
L.Condensation.Δ₀-envHypB2T                         26ms 
L.Condensation.AtomLeaf.drop-v                      26ms 
L.Condensation.WitnessAgree.back                    26ms 
L.Condensation.BotRow.σL-out                        26ms 
L.Condensation.DomainAgree._.go                     26ms 
L.Condensation.TmBranch._.go                        26ms 
L.Condensation.SubValB2T.out                        25ms 
L.Condensation.KeyAgree._.go                        25ms 
L.Condensation.OneSuccRel.back                      25ms 
L.Condensation.TagAgree._.hp                        25ms 
L.Condensation.AtomLeaf.lift-w                      25ms 
L.Condensation.AtomLeaf.lift-v                      24ms 
L.Condensation.DefinesAgree.fwd                     24ms 
L.Condensation.DomainAgree.mem                      24ms 
L.Condensation.ExistAgree.Leaf.bodyK                24ms 
L.Condensation.WitnessAgree.out                     24ms 
L.Condensation.ClauseDecode.σL-in                   23ms 
L.Condensation.UnEnvDecode.unEnv-in                 23ms 
L.Condensation.DefinesAgree.bwd                     23ms 
L.Condensation.ExistAgree.Leaf.drop-x               22ms 
L.Condensation.UnBareDecode.unBare-out              22ms 
L.Condensation.ExistAgree.Leaf.lift-x               22ms 
L.Condensation.BndLeaf.eK                           21ms 
L.Condensation.ExistAgree.Leaf.xB                   21ms 
L.Condensation.AtomLeaf.wK                          21ms 
L.Condensation.BndLeaf.ySat                         21ms 
L.Condensation.Δ₀-sucAtL                            21ms 
L.Condensation.TmBranch._._._.tz'                   21ms 
L.Condensation.UnFormAgree._.go                     21ms 
L.Condensation.TmBranch._._.hTagB                   21ms 
L.Condensation.ExistAgree.Leaf.bodyC                21ms 
L.Condensation.SuccSndRel.out                       21ms 
L.Condensation.BothSameRel.out                      20ms 
L.Condensation.UnaryShape.out                       20ms 
L.Condensation.ShapesAgree.back                     20ms 
L.Condensation.OneSuccRel.out                       20ms 
L.Condensation.BndLeaf.ex-drop-e                    20ms 
L.Condensation.Δ₀-shapesBS                          20ms 
L.Condensation.BndLeaf.xB                           20ms 
L.Condensation.BothSameRel.back                     20ms 
L.Condensation.BotRow.σL-in                         20ms 
L.Condensation.KValue.consed                        19ms 
L.Condensation.Clause.envBnd                        19ms 
L.Condensation.UnBareDecode.unBare-in               19ms 
L.Condensation.AtomLeaf.vK                          19ms 
L.Condensation.ImpLeaf.opOut                        19ms 
L.Condensation.AllInAgree.φB                        18ms 
L.Condensation.DefBodyB                             18ms 
L.Condensation.ExInAgree.φB                         18ms 
L.Condensation.Δ₀-atomBodyB                         18ms 
L.Condensation.BndLeaf.wK'                          18ms 
L.Condensation.keyU                                 18ms 
L.Condensation.AtomLeaf.tVM                         18ms 
L.Condensation.ExistAgree.Leaf.exist-drop-step      18ms 
L.Condensation.BndLeaf.ex-lift-e                    17ms 
L.Condensation.AtomLeaf.tWM                         17ms 
L.Condensation.EnvSet.app3                          17ms 
L.Condensation.EnvSet.app3'                         17ms 
L.Condensation.SatGraphAgree._.eK                   17ms 
L.Condensation.BndLeaf.tVM                          16ms 
L.Condensation.TagAgree.out                         16ms 
L.Condensation.ExistAgree.Leaf.exist-lift-step      16ms 
L.Condensation.ExistAgree.Leaf.exist-lift           16ms 
L.Condensation.Δ₀-envBndGen                         15ms 
L.Condensation.EnvSet.entryK                        15ms 
L.Condensation.KeyAgree.back                        15ms 
L.Condensation.SatGraphAgree.sh3                    15ms 
L.Condensation.DefinesAgree.back                    15ms 
L.Condensation.BndLeaf.cSat                         15ms 
L.Condensation.ExistAgree.Leaf.exist-drop           15ms 
L.Condensation.extAtB→extAt                         15ms 
L.Condensation.EnvSet.app2                          14ms 
L.Condensation.TmBranch._.go                        14ms 
L.Condensation.KValue.Kenv                          14ms 
L.Condensation.Imp.Δ₀-impBndAt                      14ms 
L.Condensation.KeyAgree.out                         14ms 
L.Condensation.GraphEntry.bin                       14ms 
L.Condensation.ChainZ.xsingl∈prxy                   14ms 
L.Condensation.Δ₀-arTagPairBS                       13ms 
L.Condensation.Δ₀-arTagPairB                        13ms 
L.Condensation.DefinesAgree.out                     13ms 
L.Condensation.succU                                13ms 
L.Condensation.GraphEntry.un                        13ms 
L.Condensation.OneSameRel.back                      13ms 
L.Condensation.UnFormAgree.back                     12ms 
L.Condensation.And.Δ₀-andBndAt                      12ms 
L.Condensation.BinFrameAgree._._.bK                 12ms 
L.Condensation.AllIn.Δ₀-allInBndAt                  12ms 
L.Condensation.Or.Δ₀-orBndAt                        12ms 
L.Condensation.OneSameRel.out                       12ms 
L.Condensation.BinFrameAgree.back                   12ms 
L.Condensation.BinFormAgree.back                    12ms 
L.Condensation.AtomLeaf.cSat                        12ms 
L.Condensation.KeyAgree._._.te'                     12ms 
L.Condensation.EqAgree.φB                           12ms 
L.Condensation.EnvSet.memE-bnd                      12ms 
L.Condensation.EqAgree.cmp                          12ms 
L.Condensation.ExIn.Δ₀-exInBndAt                    11ms 
L.Condensation.ImpLeaf.yaCore                       11ms 
L.Condensation.MemAgree.cmp                         11ms 
L.Condensation.Forall.Δ₀-forallBndAt                11ms 
L.Condensation.ZeroPayRel.back                      11ms 
L.Condensation.ChainZ.entryK-tied-zK                11ms 
L.Condensation.MemAgree.φB                          11ms 
L.Condensation.Δ₀-binFullAt                         11ms 
L.Condensation.bndBodyEx                            11ms 
L.Condensation.ClauseAgree.out                      10ms 
L.Condensation.BndLeaf.xW                           10ms 
L.Condensation.Δ₀-propBodyB                         10ms 
L.Condensation.Δ₀-closedBS                          10ms 
L.Condensation._.d2                                 10ms 
L.Condensation.DefinesAgree.bodyM                   10ms 
L.Condensation.KValue.i10                           10ms 
L.Condensation.UnFrameAgree.back                    10ms 
L.Condensation.EnvSet.out                           10ms 
L.Condensation.ChainZ.xK'                           10ms 
L.Condensation.EraseTransfer.σL-transfer            10ms 
L.Condensation.BinaryShape.innerK                   10ms 
L.Condensation.ClauseAgree.back                     10ms 
L.Condensation.SubValB2T.back                       10ms 

----- stderr -----

