Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          126,324ms 
L.Condensation.UnFormAgree.out                      31ms 
L.Condensation.Δ₀-envHypU                           31ms 
L.Condensation.TagAgree.back                        31ms 
L.Condensation.BndLeaf.ex-lift-x                    31ms 
L.Condensation.BinFormAgree._._.go₂                 30ms 
L.Condensation.PropAgree.coreS                      30ms 
L.Condensation.UnFormAgree._._._.ks                 29ms 
L.Condensation.TopRow.σL-in                         29ms 
L.Condensation.Δ₀-DefBodyB                          29ms 
L.Condensation.AtomLeaf.tVS                         29ms 
L.Condensation.BndLeaf.ex-drop-x                    29ms 
L.Condensation.SuccSndRel.back                      29ms 
L.Condensation.SatGraphB.satGraphB                  29ms 
L.Condensation.ClauseDecode.σL-out                  28ms 
L.Condensation.UnFrameAgree._._.ks                  28ms 
L.Condensation.Δ₀-envHypB2                          28ms 
L.Condensation.OneSuccRel._._.zK                    28ms 
L.Condensation.BinaryShape.out                      28ms 
L.Condensation.EnvOneAgree.bwd                      28ms 
L.Condensation.AtomLeaf.tWS                         27ms 
L.Condensation.TmBranch._.go                        27ms 
L.Condensation.Δ₀-envHypT                           27ms 
L.Condensation.ImpLeaf.opBack                       27ms 
L.Condensation.EnvOneAgree.fwd                      27ms 
L.Condensation.BinEnvDecode.binEnv-in               27ms 
L.Condensation.Δ₀-envHypB2T                         27ms 
L.Condensation.AtomLeaf.drop-v                      27ms 
L.Condensation.UnShapeClosed.out                    26ms 
L.Condensation.BndLeaf.tVS                          26ms 
L.Condensation.KeyAgree._.go                        26ms 
L.Condensation.UnBareDecode.unBare-out              26ms 
L.Condensation.AtomLeaf.drop-w                      26ms 
L.Condensation.SubValB2T.out                        26ms 
L.Condensation.DomainAgree._.go                     25ms 
L.Condensation.ClauseDecode.σL-in                   25ms 
L.Condensation.WitnessAgree.back                    25ms 
L.Condensation.BinFormAgree._.go                    25ms 
L.Condensation.UnEnvDecode.unEnv-in                 25ms 
L.Condensation.BotRow.σL-out                        25ms 
L.Condensation.OneSuccRel.back                      25ms 
L.Condensation.TagAgree._.hp                        24ms 
L.Condensation.AtomLeaf.lift-w                      24ms 
L.Condensation.DefinesAgree.bwd                     23ms 
L.Condensation.WitnessAgree.out                     23ms 
L.Condensation.DomainAgree.mem                      23ms 
L.Condensation.AtomLeaf.lift-v                      23ms 
L.Condensation.ExistAgree.Leaf.bodyK                23ms 
L.Condensation.DefinesAgree.fwd                     22ms 
L.Condensation.BndLeaf.ySat                         22ms 
L.Condensation.Δ₀-sucAtL                            22ms 
L.Condensation.TmBranch._._._.tz'                   22ms 
L.Condensation.BndLeaf.eK                           21ms 
L.Condensation.UnFormAgree._.go                     21ms 
L.Condensation.SuccSndRel.out                       21ms 
L.Condensation.ExistAgree.Leaf.xB                   21ms 
L.Condensation.ExistAgree.Leaf.drop-x               21ms 
L.Condensation.ExistAgree.Leaf.bodyC                21ms 
L.Condensation.AtomLeaf.wK                          20ms 
L.Condensation.BndLeaf.xB                           20ms 
L.Condensation.ExistAgree.Leaf.lift-x               20ms 
L.Condensation.UnaryShape.out                       20ms 
L.Condensation.OneSuccRel.out                       20ms 
L.Condensation.BothSameRel.out                      20ms 
L.Condensation.ImpLeaf.opOut                        20ms 
L.Condensation.Δ₀-atomBodyB                         20ms 
L.Condensation.BndLeaf.ex-drop-e                    20ms 
L.Condensation.BotRow.σL-in                         20ms 
L.Condensation.ShapesAgree.back                     19ms 
L.Condensation.TmBranch._._.hTagB                   19ms 
L.Condensation.BothSameRel.back                     19ms 
L.Condensation.keyU                                 19ms 
L.Condensation.Clause.envBnd                        19ms 
L.Condensation.AtomLeaf.vK                          19ms 
L.Condensation.EnvSet.app3                          18ms 
L.Condensation.BndLeaf.wK'                          18ms 
L.Condensation.ExInAgree.φB                         18ms 
L.Condensation.DefBodyB                             18ms 
L.Condensation.TagAgree.out                         18ms 
L.Condensation.AtomLeaf.tVM                         17ms 
L.Condensation.BndLeaf.ex-lift-e                    17ms 
L.Condensation.AllInAgree.φB                        17ms 
L.Condensation.Δ₀-shapesBS                          17ms 
L.Condensation.EnvSet.app3'                         17ms 
L.Condensation.BndLeaf.cSat                         17ms 
L.Condensation.AtomLeaf.tWM                         16ms 
L.Condensation.UnBareDecode.unBare-in               16ms 
L.Condensation.ExistAgree.Leaf.exist-drop-step      16ms 
L.Condensation.EnvSet.entryK                        16ms 
L.Condensation.Δ₀-envBndGen                         16ms 
L.Condensation.BndLeaf.tVM                          15ms 
L.Condensation.EnvSet.app2                          15ms 
L.Condensation.DefinesAgree.out                     15ms 
L.Condensation.SatGraphAgree.sh3                    15ms 
L.Condensation.ChainZ.xsingl∈prxy                   15ms 
L.Condensation.extAtB→extAt                         14ms 
L.Condensation.DefinesAgree.back                    14ms 
L.Condensation.ExistAgree.Leaf.exist-lift-step      14ms 
L.Condensation.KeyAgree._._.te'                     14ms 
L.Condensation.ExistAgree.Leaf.exist-lift           14ms 
L.Condensation.ExistAgree.Leaf.exist-drop           14ms 
L.Condensation.succU                                14ms 
L.Condensation.Δ₀-arTagPairB                        14ms 
L.Condensation.KeyAgree.back                        13ms 
L.Condensation.OneSameRel.back                      13ms 
L.Condensation.Or.Δ₀-orBndAt                        13ms 
L.Condensation.TmBranch._.go                        13ms 
L.Condensation.BinFormAgree.back                    12ms 
L.Condensation.Δ₀-arTagPairBS                       12ms 
L.Condensation.AllIn.Δ₀-allInBndAt                  12ms 
L.Condensation.AtomLeaf.cSat                        12ms 
L.Condensation.OneSameRel.out                       12ms 
L.Condensation.KeyAgree.out                         12ms 
L.Condensation.EqAgree.φB                           12ms 
L.Condensation.MemAgree.φB                          11ms 
L.Condensation.UnFrameAgree.back                    11ms 
L.Condensation.Forall.Δ₀-forallBndAt                11ms 
L.Condensation.Δ₀-hasWitnessBS                      11ms 
L.Condensation.EqAgree.cmp                          11ms 
L.Condensation.ChainZ.ysingl∈prxy                   11ms 
L.Condensation.Neg.Δ₀-negBndAt                      11ms 
L.Condensation.atomBodyB                            11ms 
L.Condensation.BinFrameAgree.back                   11ms 
L.Condensation.Δ₀-propBodyB                         11ms 
L.Condensation.EnvSet.memE-at                       10ms 
L.Condensation.DefinesAgree.bodyM                   10ms 
L.Condensation.SubValB2T.back                       10ms 
L.Condensation.Imp.Δ₀-impBndAt                      10ms 
L.Condensation.ChainZ.prʟxy∈z                       10ms 
L.Condensation.bndBodyAll                           10ms 
L.Condensation.EnvSet.back                          10ms 
L.Condensation.MemAgree.cmp                         10ms 
L.Condensation.UnFormAgree.back                     10ms 
L.Condensation.Δ₀-binFullAt                         10ms 
L.Condensation.TopBinRel.back                       10ms 
L.Condensation._.d1                                 10ms 
L.Condensation.EnvSet.out                           10ms 
L.Condensation.DefinesAgree.bodyB                   10ms 
L.Condensation.ChainZ.yK'                           10ms 
L.Condensation.ImpLeaf.ybCore                       10ms 
L.Condensation.Δ₀-closedBS                          10ms 
L.Condensation.And.Δ₀-andBndAt                      10ms 
L.Condensation.EraseTransfer.σL-transfer            10ms 
L.Condensation.BndLeaf.xW                           10ms 
